RegionsCount::Count!!I;ImageSceneContainerName::Image Scene Container Name ;ImageSceneColumn::Image Scene Column Index!!I;ImageSceneRow::Image Scene Row Index!!I;ImageIndexPosition::Image Index Position!!I;RegionsIntensityMean_DAPI::Intensity Mean Value of channel 'DAPI'!!R;RegionsMeanArea::Mean Area!!R
"#";;;;;"Gray";"µm²"
326;"B2";2;2;1;82,611747062285;532,88699543558
271;"B2";2;2;1;77,988221463613;538,28068061993
244;"B2";2;2;1;108,10610965259;530,26551003279
207;"B2";2;2;1;38,322633456119;544,95875524638
215;"B2";2;2;1;75,563445834843;550,37381923721
233;"B2";2;2;1;67,770175210902;545,27855107296
215;"B2";2;2;1;70,406462091769;528,85339147907
212;"B2";2;2;1;101,82054169554;538,73277826415
204;"B2";2;2;1;67,189607043161;526,99415560784
176;"B3";3;2;1;87,928276350474;476,25912472727
179;"B3";3;2;1;60,628521243455;555,9190332067
198;"B3";3;2;1;75,704476752555;462,8324370101
170;"B3";3;2;1;64,706167883212;531,53679058824
212;"B3";3;2;1;83,372254938934;536,22827441509
257;"B3";3;2;1;82,499899623029;575,27697407004
219;"B3";3;2;1;54,691842900302;553,27181413699
235;"B3";3;2;1;75,748455126351;533,67730137872
214;"B3";3;2;1;60,61625571308;529,36753016822
200;"B4";4;2;1;60,256893755069;569,27590272
181;"B4";4;2;1;91,455952424925;493,27544468508
171;"B4";4;2;1;74,10647955648;556,58552140351
202;"B4";4;2;1;64,012330960248;479,28296332673
182;"B4";4;2;1;83,67949970686;556,32293907692
152;"B4";4;2;1;54,573587354564;468,05689136842
161;"B4";4;2;1;69,383525438661;558,01362206211
202;"B4";4;2;1;67,33931298853;545,14212720792
222;"B4";4;2;1;37,386845412652;531,89069405405
222;"B5";5;2;1;79,608946766196;545,27523574775
201;"B5";5;2;1;46,947836339303;514,89212433831
197;"B5";5;2;1;53,598005898949;522,16611346193
163;"B5";5;2;1;48,006174997087;520,96008677301
196;"B5";5;2;1;79,087554534253;505,22817404082
139;"B5";5;2;1;61,576621013313;495,43761864748
199;"B5";5;2;1;66,800402581635;518,67485973869
169;"B5";5;2;1;68,558398171348;443,92263990533
208;"B5";5;2;1;72,932651292989;475,77914830769
181;"B6";6;2;1;84,454194477163;556,88215902762
205;"B6";6;2;1;89,537464203669;511,19985420488
201;"B6";6;2;1;54,227954837788;574,00742368159
207;"B6";6;2;1;60,404598253144;530,79549928502
211;"B6";6;2;1;88,614063733094;574,34272242654
202;"B6";6;2;1;60,750108581001;526,25292229703
194;"B6";6;2;1;63,151113991236;550,87794606186
168;"B6";6;2;1;53,879400945875;522,98499733333
167;"B6";6;2;1;62,256477166822;529,73046227545
173;"B7";7;2;1;71,09623910717;498,75782880925
180;"B7";7;2;1;42,633595920387;481,43201173333
184;"B7";7;2;1;75,560085990684;500,23457043478
206;"B7";7;2;1;115,65082856282;531,33903223301
205;"B7";7;2;1;47,419050335092;564,09424702439
224;"B7";7;2;1;48,386513467696;547,134922
211;"B7";7;2;1;47,690034903542;577,65620807583
186;"B7";7;2;1;60,665052247471;534,48316731183
166;"B7";7;2;1;51,840001524158;521,37911363855
180;"B8";8;2;1;73,75866033677;493,98218595556
178;"B8";8;2;1;89,658833258675;537,68021896629
182;"B8";8;2;1;59,523224889796;497,3782930989
137;"B8";8;2;1;40,719965467103;529,77529086131
170;"B8";8;2;1;57,575051488107;480,38122428235
198;"B8";8;2;1;45,755021863897;487,54970117172
219;"B8";8;2;1;89,395519794702;563,33102787215
200;"B8";8;2;1;71,317303836386;493,42521472
127;"B8";8;2;1;69,684230955847;535,18749732284
183;"B9";9;2;1;69,478467856234;495,88581175956
177;"B9";9;2;1;59,678356713427;576,43541767232
185;"B9";9;2;1;81,485133221779;553,96850300541
187;"B9";9;2;1;62,450820173828;576,26065591444
163;"B9";9;2;1;62,843904721064;518,97732672393
184;"B9";9;2;1;60,088970200422;543,71608486957
152;"B9";9;2;1;40,20375310459;471,72358652632
209;"B9";9;2;1;66,612548969238;491,39632321531
202;"B9";9;2;1;47,427495468467;522,39998162376
314;"B10";10;2;1;76,561029168048;506,98759500637
165;"B10";10;2;1;62,285101864234;508,18961609697
198;"B10";10;2;1;84,06552926295;539,86568953535
174;"B10";10;2;1;69,036300348086;495,4933874023
197;"B10";10;2;1;79,063281380928;499,44940994924
225;"B10";10;2;1;70,035685668498;512,17902250667
187;"B10";10;2;1;72,784779428747;458,13745009626
144;"B10";10;2;1;52,207408116386;478,55554844444
176;"B10";10;2;1;98,112631115675;510,90535054546
158;"B11";11;2;1;66,906738685368;479,17012779747
152;"B11";11;2;1;47,139162387525;460,54992968421
169;"B11";11;2;1;43,909625392285;491,22443247337
283;"B11";11;2;1;89,940630429387;469,507484947
188;"B11";11;2;1;95,899368011668;505,16838876596
182;"B11";11;2;1;63,087679516251;527,40327876923
187;"B11";11;2;1;89,140842660095;515,25913771123
275;"B11";11;2;1;67,509634125281;486,07998999273
184;"B11";11;2;1;36,606719130747;448,66972417391
181;"D2";2;4;1;77,22475629274;500,9097080221
164;"D2";2;4;1;99,291408906551;490,83760429268
209;"D2";2;4;1;45,587853683794;518,07897630622
143;"D2";2;4;1;83,050342181667;444,81850718881
221;"D2";2;4;1;41,702710043457;494,46948604525
216;"D2";2;4;1;77,458023474599;511,21348355556
326;"D2";2;4;1;82,611747062285;532,88699543558
271;"D2";2;4;1;77,988221463613;538,28068061993
244;"D2";2;4;1;108,10610965259;530,26551003279
