ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"C5";3;5;2;1;4189,0727272727;47,185772014879;28,461473490638;0,47318431456369;0,49320789085048
"C5";3;5;3;2;3639,3650793651;54,049157035225;29,228796988882;0,52427521675602;0,56591651784074
"C5";3;5;4;3;4215,0822368421;260,80863077315;61,619979921167;0,72628853651208;0,77747920687529
"C5";3;5;5;4;3760,2789855073;236,78678320194;60,534820623223;0,55871527318344;0,60666935739223
"C5";3;5;6;5;4370,7560521415;460,70471949072;88,903202163432;0,51608322565882;0,53819194488784
"C5";3;5;7;6;4002,7159090909;301,98894089522;78,106141186004;0,40416964855964;0,44109850484558
"C5";3;5;8;7;4103,6049382716;69,491773331003;31,848603283314;0,60666419628341;0,70205914459405
"C5";3;5;9;8;5645,3808139535;295,12555587488;65,867525162516;0,7698701656634;0,83850268971468
"C5";3;5;10;9;3608,1703296703;156,14200921287;52,357565940227;0,41235906680436;0,49059533200462
"C5";3;5;11;10;4227,375;336,30586599695;72,417040898596;0,61618949776152;0,67326622769159
"C5";3;5;12;11;4142,6293103448;99,519082795017;41,560504962798;0,5058520409465;0,59403147218948
"C5";3;5;13;12;3745,0682414698;326,86871159398;70,78930195168;0,66914052544826;0,72980311554391
"C5";3;5;14;13;4189,6420029895;1147,9011446529;163,39746970749;0,47115030339502;0,49890502275393
"C5";3;5;15;14;3623,9015748032;217,91247439599;61,844723770439;0,48561137737042;0,54197076390356
"C5";3;5;16;15;3659,8421052632;65,202157693287;37,63079552115;0,52310619916254;0,65144870796931
"C5";3;5;17;16;3523,5125;137,26770040692;45,040726705902;0,62682630786882;0,69532439881272
"C6";3;6;2;1;4893,7368421053;146,7048548099;45,265470555174;0,83431545075605;0,91921335524026
"C6";3;6;3;2;6220,3184855234;770,41496853384;109,50525677077;0,63067831462441;0,70458270121498
"C6";3;6;4;3;4994,4821428571;336,30586599695;70,564558102408;0,68846104854904;0,74279947791371
"C6";3;6;5;4;4575,0617059891;472,71564327633;86,469579769857;0,60069929862397;0,62452898557013
"C6";3;6;6;5;5091,127744511;429,81948689917;92,701259706237;0,48582874323059;0,60494288966462
"C6";3;6;7;6;5394,236900369;1162,4858378211;130,42514717782;0,72368026749361;0,77827352162557
"C6";3;6;8;7;4756,2302839117;271,96163143121;61,488328022324;0,76163356867831;0,78191735618036
"C7";3;7;2;1;4276,8421052632;48,901618269965;26,608990694449;0,62029686716186;0,64715058297117
"C7";3;7;3;2;4704,8421052632;146,7048548099;45,040726705902;0,78604377846378;0,84119811043627
"C7";3;7;4;3;4633,7256097561;140,69939291709;44,49814705693;0,75386654776643;0,83731779610551
"C7";3;7;5;4;3755,4730077121;333,73209661432;72,641784747868;0,65696515532011;0,73034577505974
"C7";3;7;6;5;5026,1798780488;281,39878583419;61,844723770439;0,85229709373845;0,89443040919316
"C7";3;7;7;6;3731,1736641221;449,55171883266;81,679454879536;0,73721321830017;0,74985558300064
"C7";3;7;8;7;4067,0788043478;315,71571093592;68,487331456948;0,68905069207499;0,7374890924157
"C7";3;7;9;8;3723,3242320819;251,37147637017;60,310076773951;0,75681938320811;0,84960631736532
"C7";3;7;10;9;4288,206864564;1849,6822629832;196,10648843947;0,49046007682088;0,57568345526947
"C7";3;7;11;10;3805,8105263158;326,01078846643;69,797234604164;0,61636592248311;0,68324223211403
"C7";3;7;12;11;3452,6333333333;102,95077530519;41,560504962798;0,52329521477224;0,57642147584731
"C7";3;7;13;12;3853,7689873418;271,10370830367;64,782365864571;0,67854196905114;0,74088570635381
"C7";3;7;14;13;3815,7672413793;199,03816559003;55,519951883631;0,6450221340826;0,69389307620852
"C7";3;7;15;14;4157,2641509434;409,22933183813;79,73388013292;0,66452449473398;0,70095849511398
"C7";3;7;16;15;4735,2134831461;229,06547505405;56,605111181575;0,76400007548843;0,83728311511416
"C7";3;7;17;16;4994,3404255319;161,28954797813;49,737759645794;0,63501227834455;0,68327056704722
"C7";3;7;18;17;4288,5344827586;49,759541397508;26,833734543721;0,71007667688265;0,78446496971613
"C7";3;7;19;18;5574,9781818182;235,92886007439;59,000173626735;0,76457365031343;0,83379427168411
