,type,feretmax,fiberlength,feretmin,maxcircle,diamfilled,maxwidth,feretratio,formcircle,areafilled,areaconv,radius,perimfilled,perimconv,perimcrotfilled,densmax,densmean,densmin,densstd,denssum,rectheight,rectwidth,boundleft,boundtop,boundwidth,boundheight,imgname
1,Non-metallic,654.903759093014,1819.31611526565,409.831338002443,332.62587822014,474.881660355846,424.838992974239,0.625788648045056,0.26068401920336,177117.175063261,198014.097707698,237.079276595955,3082.06997891657,1701.85312807947,2921.98556589406,150.0,53.7421620218757,16.0,6.50540698832928,31475387.0,425.889348770745,654.903759093014,4690.79332552693,9037.43413348946,424.290105386417,653.176229508197,ShiftImage__
2,Non-metallic,268.08208404029,398.502449835939,70.7370943457009,18.6621779859485,69.9814438493878,37.3243559718969,0.26386356476947503,0.0820492308191866,3846.41091575874,13453.8269955339,34.9824988102664,809.580321439611,591.145036900215,767.530273439795,255.0,56.0492240163035,24.0,15.7218261693685,715076.0,72.2285918347547,268.08208404029,13089.8711943794,11381.7330210773,264.014929742389,94.9575526932084,ShiftImage__
3,Non-metallic,253.904597337969,277.87371763014,22.8328457302312,18.6621779859485,64.5822487987095,20.8577283372365,0.0899268700512683,0.136461583602985,3275.7911715395,4722.34197299315,32.2911243993548,579.324988398283,521.500318353484,549.23452927457,83.0,49.4095465832797,19.0,11.1250068138649,537230.0,22.8328457302312,253.904597337969,13569.050058548,11152.2980093677,46.1065573770492,250.84162763466,ShiftImage__
4,Non-metallic,239.65901010337,290.115719323226,93.6762268463076,76.844262295082,137.302403300701,91.1153395784543,0.39087296073660205,0.444662268247298,14806.2868688778,17351.7819412858,68.6512016503503,682.303032032826,562.912441428223,646.863836578591,169.0,27.96070491036,14.0,12.4621901221823,1374017.0,99.5269590898206,239.65901010337,4714.39549180328,6902.81030444965,187.170667447307,189.366217798595,ShiftImage__
5,Non-metallic,186.827907951001,255.175112059915,52.6932084309134,14.2710772833724,57.7129627596395,19.7599531615925,0.282041419875734,0.156258733716525,2615.99326243699,6645.31379677227,28.5793138207334,483.799618145023,409.643919844051,458.670799389751,78.0,44.1761804087385,25.0,9.20818472283943,376116.0,57.1274875997376,186.827907951001,4863.69291569087,1968.85977751756,52.1443208430913,186.072892271663,ShiftImage__
6,Non-metallic,185.824467468431,225.778244308075,34.6716376308899,14.2710772833724,51.6816852672239,23.0532786885246,0.18658273640299897,0.13269325518119,2097.79581784508,4942.82758038001,25.840842633612,470.139287187145,395.3245660513,445.719993549098,74.0,38.8723251472067,19.0,12.3023421643244,270668.0,38.4346816629576,185.824467468431,9553.93735362998,11319.1598360656,157.530737704918,110.875292740047,ShiftImage__
7,Metallic,182.528179239285,226.966635720951,51.8017399788899,12.0755269320843,46.9075813794998,17.5644028103044,0.28380132971677,0.10976662372717802,1728.12822219724,5628.46777796645,23.4537906897499,469.16130896123,395.724848926735,444.792812051134,255.0,90.1760808926081,28.0,46.6784270365863,517250.0,51.8017399788899,182.528179239285,6525.1756440281,680.071721311475,151.492974238876,109.228629976581,ShiftImage__
8,Non-metallic,167.568589003502,320.504162005095,79.6165897573665,52.6932084309133,98.8504196041555,74.0998243559719,0.47512836523140006,0.251325077173683,7674.4438988895,10497.970601162,49.3805627837381,653.393645565661,409.782361100901,619.456019574513,76.0,46.8046696590283,14.0,14.6143375883362,1188745.0,82.7088898139414,167.568589003502,11834.0163934426,8353.52019906323,81.2353629976581,164.666276346604,ShiftImage__
9,Non-metallic,166.22132140573,702.320725903705,118.637686575542,45.0087822014051,103.166491282976,107.033079625293,0.713733265818283,0.0681438342561815,8359.24784746941,14362.9147401593,51.3148334934838,1309.60305279422,454.561933250408,1241.58154859958,181.0,52.7047820845359,9.0,19.4338053997284,1442688.0,136.328286804666,166.22132140573,5783.62851288056,7085.04098360656,123.499707259953,151.492974238876,ShiftImage__
10,Non-metallic,160.859438452713,451.947427652268,119.108606557377,59.2798594847775,111.682988546582,92.2131147540983,0.7404514631100779,0.216771597829552,9796.34192345979,14771.6743481367,55.2050219888489,794.877381287897,461.875613364201,753.591012101344,189.0,51.9580051666562,20.0,13.2474534543764,1649251.0,147.638987461045,160.859438452713,5123.8656323185,7948.44115925058,118.559718969555,154.786299765808,ShiftImage__
11,Metallic,156.270604749795,291.199265333001,113.949183717451,77.942037470726,111.707028920169,95.5064402810304,0.7291786187165201,0.324601247910862,9800.5598096367,12434.4509795956,55.8535144600847,649.710237640463,418.497736518849,615.963929886623,255.0,68.0092256596347,10.0,54.3630426230185,2211524.0,122.204279629132,156.270604749795,3913.56850117096,7545.55766978923,139.417447306792,115.815281030445,ShiftImage__
12,Metallic,152.286783343879,275.075687902547,75.8255905758082,36.2265807962529,83.1457321771716,77.393149882904,0.49791314066031894,0.229419308370055,5429.62462002068,8483.54258236109,41.5451754553479,575.22702364209,377.066488707523,545.349415065922,243.0,44.4907958400534,10.0,23.9727007285089,799989.0,90.470283575507,152.286783343879,5038.78805620609,8165.8006440281,105.935304449649,125.695257611241,ShiftImage__
13,Non-metallic,139.603217665324,321.360997891192,82.6001415179477,59.2798594847775,91.2616642936217,64.2198477751756,0.5916779204614621,0.253393825184847,6541.33890522078,9011.28730771257,45.4507866277696,600.76506810267,371.936236218594,569.560999424952,188.0,42.9226765799256,19.0,14.7834450604217,923696.0,95.3663017184769,139.603217665324,6902.81030444965,5875.84162763466,114.168618266979,132.281908665105,ShiftImage__
14,Metallic,138.582835191065,187.301397022611,40.9221200560486,32.9332552693208,64.2009832288397,39.519906323185,0.295289961412818,0.270336534032969,3237.22764077917,4608.82123548518,32.1004916144198,409.169836173459,309.693593001999,387.917329417149,255.0,116.420631226143,16.0,75.4287151586769,1250474.0,44.1622874829902,138.582835191065,3634.18471896955,8750.91481264637,61.4754098360656,133.928571428571,ShiftImage__
15,Non-metallic,135.263413645172,275.017474569327,64.2381917545838,30.7377049180328,72.8444817433772,55.4376463700234,0.474911803742404,0.179231020350197,4167.5728203721,6322.40274659667,36.4064394649268,570.170010632212,321.859879214298,540.55506609835,132.0,51.0611284131238,13.0,16.4245178477169,705001.0,65.2845162886505,135.263413645172,5161.73887587822,7841.95696721311,132.830796252927,66.4153981264637,ShiftImage__
16,Non-metallic,135.121468893327,201.261508808982,21.9531825379973,12.0755269320843,39.2153863005509,19.7599531615925,0.162469981401168,0.0982740903668839,1207.82183451686,2340.86857689009,19.6076931502755,414.525529590218,284.873666378627,392.994845166686,81.0,51.9247876061969,35.0,6.6111448818674,207803.0,23.1864670527753,135.121468893327,6546.03337236534,5213.33430913349,130.635245901639,39.519906323185,ShiftImage__
17,Non-metallic,125.880619773582,162.81528326701,41.7681251305727,37.3243559718969,66.1984112507094,41.166569086651,0.33180743156253995,0.355502528009618,3441.79512035935,4138.2561158119,33.0992056253547,367.909092865174,284.848731297223,348.799691852265,74.0,34.1585259103641,16.0,14.6543745129185,390227.0,46.2617436754578,125.880619773582,2104.4350117096,7568.61094847775,110.326405152225,78.490925058548,ShiftImage__
18,Non-metallic,124.519433291214,221.814798147344,61.6250355413056,45.0087822014051,77.7454956883486,56.5354215456674,0.4949029554060271,0.30924686929420003,4747.23089211329,6534.12373468129,38.7739416912606,463.272885698629,318.515974342576,439.210236737498,78.0,47.5419511261405,18.0,9.65266328273467,745125.0,61.6250355413056,124.519433291214,3151.712529274,10512.843969555,69.7087236533958,122.950819672131,ShiftImage__
19,Non-metallic,123.651931276956,210.206611194431,20.3672883461259,14.2710772833724,42.0476591867584,17.0155152224824,0.164714680440431,0.13897786291152803,1388.5883849559,2024.12096372975,20.5835998011571,373.751815132083,261.555027379373,354.338939905107,88.0,63.2125,44.0,6.26665621473179,278135.0,20.3672883461259,123.651931276956,11423.4484777518,3063.34162763466,44.4598946135831,118.010831381733,ShiftImage__
20,Non-metallic,122.055288111068,306.745633951446,59.3545153791861,37.3243559718969,76.5646968007411,54.8887587822014,0.486292042710796,0.253687230263959,4604.12403968239,5953.12989140017,36.1672642157388,503.725069252037,302.5429267311,477.561311586715,89.0,43.5851438637698,14.0,15.7665068667248,593804.0,59.3545153791861,122.055288111068,9856.92330210773,7091.0787470726,113.619730679157,80.137587822014,ShiftImage__
